Date,Segment,Type,Landing,Bouncing,Success,Control,Treatment
9/16/18,A,R,0,0,0,4008,3691
9/16/18,A,R,1,0,0,14979,13677
9/16/18,A,R,1,1,0,11561,12507
9/16/18,A,R,0,0,1,524,333
9/16/18,A,R,1,0,1,1636,1529
9/16/18,A,N,0,0,0,6518,6012
9/16/18,A,N,1,0,0,27047,23757
9/16/18,A,N,1,1,0,17923,15699
9/16/18,A,N,0,0,1,616,672
9/16/18,A,N,1,0,1,2439,2072
9/16/18,B,R,0,0,0,660,527
9/16/18,B,R,1,0,0,3868,3606
9/16/18,B,R,1,1,0,2223,2131
9/16/18,B,R,0,0,1,81,115
9/16/18,B,R,1,0,1,391,302
9/16/18,B,N,0,0,0,1069,1211
9/16/18,B,N,1,0,0,4473,4351
9/16/18,B,N,1,1,0,3054,3223
9/16/18,B,N,0,0,1,119,100
9/16/18,B,N,1,0,1,441,422
9/16/18,C,R,0,0,0,1019,951
9/16/18,C,R,1,0,0,4428,3338
9/16/18,C,R,1,1,0,3447,3304
9/16/18,C,R,0,0,1,118,141
9/16/18,C,R,1,0,1,617,534
9/16/18,C,N,0,0,0,1644,1667
9/16/18,C,N,1,0,0,7022,7218
9/16/18,C,N,1,1,0,3826,4407
9/16/18,C,N,0,0,1,185,139
9/16/18,C,N,1,0,1,688,597
9/16/18,D,R,0,0,0,2858,2548
9/16/18,D,R,1,0,0,13703,11150
9/16/18,D,R,1,1,0,6864,6198
9/16/18,D,R,0,0,1,190,260
9/16/18,D,R,1,0,1,1035,1109
9/16/18,D,N,0,0,0,3766,3734
9/16/18,D,N,1,0,0,14127,16505
9/16/18,D,N,1,1,0,9042,9753
9/16/18,D,N,0,0,1,448,339
9/16/18,D,N,1,0,1,1468,1296
9/16/18,E,R,0,0,0,663,537
9/16/18,E,R,1,0,0,2357,2402
9/16/18,E,R,1,1,0,1597,1209
9/16/18,E,R,0,0,1,86,93
9/16/18,E,R,1,0,1,323,219
9/16/18,E,N,0,0,0,927,888
9/16/18,E,N,1,0,0,3054,3226
9/16/18,E,N,1,1,0,1726,2289
9/16/18,E,N,0,0,1,101,108
9/16/18,E,N,1,0,1,316,379
9/17/18,A,R,0,0,0,3745,3028
9/17/18,A,R,1,0,0,13727,15255
9/17/18,A,R,1,1,0,20535,12132
9/17/18,A,R,0,0,1,371,334
9/17/18,A,R,1,0,1,1255,913
9/17/18,A,N,0,0,0,6491,6757
9/17/18,A,N,1,0,0,27328,21302
9/17/18,A,N,1,1,0,16658,24526
9/17/18,A,N,0,0,1,439,408
9/17/18,A,N,1,0,1,1849,1709
9/17/18,B,R,0,0,0,908,842
9/17/18,B,R,1,0,0,3419,3300
9/17/18,B,R,1,1,0,2896,2724
9/17/18,B,R,0,0,1,54,121
9/17/18,B,R,1,0,1,271,274
9/17/18,B,N,0,0,0,1003,1048
9/17/18,B,N,1,0,0,4797,4451
9/17/18,B,N,1,1,0,4481,4564
9/17/18,B,N,0,0,1,82,64
9/17/18,B,N,1,0,1,302,274
9/17/18,C,R,0,0,0,1168,1190
9/17/18,C,R,1,0,0,4765,4241
9/17/18,C,R,1,1,0,4903,4447
9/17/18,C,R,0,0,1,81,119
9/17/18,C,R,1,0,1,373,308
9/17/18,C,N,0,0,0,1735,1500
9/17/18,C,N,1,0,0,5583,5889
9/17/18,C,N,1,1,0,6453,6042
9/17/18,C,N,0,0,1,120,108
9/17/18,C,N,1,0,1,409,411
9/17/18,D,R,0,0,0,2714,1936
9/17/18,D,R,1,0,0,10655,9568
9/17/18,D,R,1,1,0,10113,8138
9/17/18,D,R,0,0,1,227,210
9/17/18,D,R,1,0,1,992,637
9/17/18,D,N,0,0,0,4510,4253
9/17/18,D,N,1,0,0,17796,16685
9/17/18,D,N,1,1,0,14383,17572
9/17/18,D,N,0,0,1,318,247
9/17/18,D,N,1,0,1,988,1070
9/17/18,E,R,0,0,0,587,479
9/17/18,E,R,1,0,0,1854,1181
9/17/18,E,R,1,1,0,1816,1626
9/17/18,E,R,0,0,1,66,96
